,0
0,"['til51508;', '67;', 'video1Start:1611917428432,video1Done,fragebogen1Start:1611918070041,fragebogen1Ende:1611918498477,video2Start:1611918500433,video2Done,fragebogen2Start:1611919309886,fragebogen2Ende:1611919819610,video3Start:1611919821479,video3Done,fragebogen3Start:1611920544119,fragebogen3Ende:1611921394097,video4Start:1611921395966,video4Done,fragebogen4Start:1611922115057,fragebogen4Ende:1611922589433,']"
1,"['1813803;', '54;', 'video1Start:1611830694203,video1Done,fragebogen1Start:1611831348065,fragebogen1Ende:1611831762757,video2Start:1611831764696,video2Done,fragebogen2Start:1611832510285,fragebogen2Ende:1611833100024,video3Start:1611833102266,video3Done,fragebogen3Start:1611846058612,fragebogen3Ende:1611846637771,video4Start:1611846639941,video4Done,fragebogen4Start:1611847359376,fragebogen4Ende:1611847810438,']"
2,"['2232274;', '37;', 'video1Start:1611598626653,video1Done,fragebogen1Start:1611599274868,fragebogen1Ende:1611599420202,video2Start:1611599422435,video2Start:1611599438618,']"
3,"['EK0407;', '45;', 'video1Start:1612620601527,video1Done,fragebogen1Start:1612621128151,fragebogen1Ende:1612621805942,video2Start:1612621807984,video2Done,fragebogen2Start:1612622402857,fragebogen2Ende:1612623378148,video3Start:1612623381361,video3Done,fragebogen3Start:1612624011284,fragebogen3Ende:1612625055557,video4Start:1612625057666,video4Done,fragebogen4Start:1612625589651,fragebogen4Ende:1612625915977,']"
4,"['Scs05696;', '28;', 'video1Start:1611488789747,video1Done,fragebogen1Start:1611489038413,fragebogen1Ende:1611489349544,video2Start:1611489351719,video2Done,fragebogen2Start:1611489579022,fragebogen2Ende:1611489917906,video3Start:1611489920267,']"
5,"['ala38982;', '38;', 'video1Start:1611608513252,video1Done,fragebogen1Start:1611609204307,fragebogen1Ende:1611609526846,video2Start:1611609529032,video2Done,fragebogen2Start:1611610506939,fragebogen2Ende:1611611331061,video3Start:1611611333451,video3Done,fragebogen3Start:1611612908152,fragebogen3Ende:1611613378710,video4Start:1611613381007,video4Done,fragebogen4Start:1611614122075,fragebogen4Ende:1611615045527,']"
6,"['amm14734;', '36;', 'video1Start:1611584670939,video1Done,fragebogen1Start:1611585121223,fragebogen1Ende:1611585233277,video2Start:1611585235565,video2Done,fragebogen2Start:1611586350593,fragebogen2Ende:1611586657957,video3Start:1611586659724,video3Done,fragebogen3Start:1611586950663,fragebogen3Ende:1611587387703,video4Start:1611587389531,video4Done,fragebogen4Start:1611587764036,fragebogen4Ende:1611588139528,']"
7,"['bal29956;', '999;', 'video1Start:1611839317137,video1Done,fragebogen1Start:1611839537794,video1Done,fragebogen1Start:1611839796275,fragebogen1Ende:1611839956637,video2Start:1611839958499,video2Start:1611862279159,']"
8,"['bim50539;', '999;', '],[dem15463', '7;', 'video1Start:1611306691108;video1Done,fragebogen1Start:1611307370878;fragebogen1Ende:1611307493593;video2Start:1611307495690;video2Done,fragebogen2Start:1611308253406;fragebogen2Ende:1611308363049;video3Start:1611308364999;video3Done,fragebogen3Start:1611309983198;fragebogen3Ende:1611310147849;video4Start:1611310149857;video4Done,fragebogen4Start:1611310911589;fragebogen4Ende:1611311046297;;']"
9,"['dom03442;', '18;', 'video1Start:1611326267733,video1Done,fragebogen1Start:1611326908042,fragebogen1Ende:1611327038601,video2Start:1611327040596,video2Done,fragebogen2Start:1611327784133,fragebogen2Ende:1611328053566,video3Start:1611328056313,video3Done,fragebogen3Start:1611331443370,fragebogen3Ende:1611331707431,video4Start:1611331710077,video4Done,fragebogen4Start:1611332415588,fragebogen4Ende:1611332749241,']"
10,"['don09434;', '26;', 'video1Start:1611412637594,video1Done,fragebogen1Start:1611413307945,fragebogen1Ende:1611413537779,video2Start:1611413539925,video2Done,fragebogen2Start:1611414290505,fragebogen2Ende:1611414672373,video3Start:1611414674708,video3Done,fragebogen3Start:1611415488796,fragebogen3Ende:1611416046329,video4Start:1611416048565,video4Done,fragebogen4Start:1611416766168,fragebogen4Ende:1611417316649,']"
11,"['dot62576;', '11;', 'video1Start:1611316509607,video1Done,fragebogen1Start:1611317202292,fragebogen1Ende:1611317386749,video2Start:1611317388879,video2Done,fragebogen2Start:1611318484627,fragebogen2Ende:1611318830411,video3Start:1611318832562,video3Done,fragebogen3Start:1611319797012,fragebogen3Ende:1611320165395,video4Start:1611320167480,video4Done,fragebogen4Start:1611320876045,fragebogen4Ende:1611321123151,']"
12,"['edm63063;', '8;', 'video1Start:1611313513988,video1Done,fragebogen1Start:1611314158807,fragebogen1Ende:1611314411009,video2Start:1611314412806,video2Done,fragebogen2Start:1611315169892,fragebogen2Ende:1611315529524,video3Start:1611315531430,video3Done,fragebogen3Start:1611316262523,fragebogen3Ende:1611316592037,video4Start:1611316593917,video4Done,fragebogen4Start:1611317310627,fragebogen4Ende:1611317738304,']"
13,"['eds43052;', '66;', 'video1Start:1611911376316,video1Done,fragebogen1Start:1611912028346,fragebogen1Ende:1611912206162,video2Start:1611912208313,video2Done,fragebogen2Start:1611912954571,fragebogen2Ende:1611913107055,video3Start:1611913109166,video3Done,fragebogen3Start:1611913119888,video3Done,fragebogen3Start:1611913837612,fragebogen3Ende:1611914403944,video4Start:1611914405844,video4Done,fragebogen4Start:1611915128270,fragebogen4Ende:1611915600953,']"
14,"['eit02435;', '1;', 'video1Start:1611303758508,video1Done,fragebogen1Start:1611304412130,fragebogen1Ende:1611304621596,video2Start:1611304623473,video2Done,fragebogen2Start:1611305359838,fragebogen2Ende:1611305733178,video3Start:1611305735244,video3Done,fragebogen3Start:1611306475506,fragebogen3Ende:1611306814742,video4Start:1611306816745,video4Done,fragebogen4Start:1611307184949,fragebogen4Ende:1611307493610,']"
15,"['fas19064;', '19;', 'video1Start:1611334021103,video1Done,fragebogen1Start:1611334894523,fragebogen1Ende:1611335123816,video2Start:1611335125712,video2Done,fragebogen2Start:1611335998488,fragebogen2Ende:1611336250105,video3Start:1611336251837,video3Done,fragebogen3Start:1611337064008,fragebogen3Ende:1611337353855,video4Start:1611337355683,video4Done,fragebogen4Start:1611338097661,fragebogen4Ende:1611338458351,']"
16,"['fewie;', '21;', 'video1Start:1611338198732,video1Done,fragebogen1Start:1611338623450,video1Done,fragebogen1Start:1611338627947,fragebogen1Ende:1611338768424,video2Start:1611338770569,video2Done,fragebogen2Start:1611338976719,fragebogen2Ende:1611339599636,video3Start:1611339601755,video3Done,fragebogen3Start:1611339612603,fragebogen3Ende:1611340016447,video4Start:1611340018440,video4Done,fragebogen4Start:1611340021906,fragebogen4Ende:1611340281611,']"
17,"['fia06900;', '45;', 'video1Start:1611741114551,video1Done,fragebogen1Start:1611742334689,video1Start:1612341978842,']"
18,"['flm05277;', '43;', 'video1Start:1611670173820,video1Done,fragebogen1Start:1611670820290,fragebogen1Ende:1611671157121,video2Start:1611671159023,video2Done,fragebogen2Start:1611674011463,fragebogen2Ende:1611674402861,video3Start:1611674404938,video3Done,fragebogen3Start:1611674908480,fragebogen3Ende:1611675413225,video4Start:1611675415203,video4Done,fragebogen4Start:1611676137065,fragebogen4Ende:1611676679740,']"
19,"['frn02873;', '42;', 'video1Start:1611662878039,video1Done,fragebogen1Start:1611663410809,fragebogen1Ende:1611663560068,video2Start:1611663561816,video2Done,fragebogen2Start:1611664321258,fragebogen2Ende:1611664543482,video3Start:1611664545268,video3Done,fragebogen3Start:1611664657348,fragebogen3Ende:1611665043661,video4Start:1611665045558,video4Done,fragebogen4Start:1611665215215,fragebogen4Ende:1611665654258,']"
20,"['gea26290;', '62;', 'video1Start:1611845789824,video1Done,fragebogen1Start:1611846406447,fragebogen1Ende:1611846512485,video2Start:1611846515291,video2Start:1611938867222,video2Done,fragebogen2Start:1611939461467,fragebogen2Ende:1611939640323,video3Start:1611939642638,video3Done,fragebogen3Start:1611941182729,fragebogen3Ende:1611941348643,video4Start:1611941350878,video4Done,fragebogen4Start:1611941937390,fragebogen4Ende:1611942046812,']"
